"","Acrónimo","Título","Descripción","Año","Mes","Día","Ciudad","País","Tópicos"
"160","AutoCarto2020","AutoCarto2020",""," 2020","May","19","Redlands","United States",""
"161","TLLM2020","Second Tsinghua Interdisciplinary Workshop on Logic, Language, and Meaning: Monotonicity in Logic and Language",""," 2020","Apr","10","Beijing","China","monotonicity,linguistics,logic,"
"162","SGKM 2020","Schweizerische Gesellschaft für Kommunikations- und Medienwissenschaft 2020",""," 2020","Apr","23","ZHAW","Switzerland",""
"163","ICSuSaT-2020","3rd International Conference on Sustainable Sciences and Technology (ICSuSaT 2020)",""," 2020","Jul","2","Istanbul","Turkey","sustainable applied sciences,sustainable engineering sciences,sustainable social sciences,sustainable natural science,"
"164","iCOnEC 2019","11th International Conference Competitiveness and Stability in the Knowledge-Based Economy",""," 2019","Oct","25","Craiova","Romania","informatics and statistics,finance and banking,management,economics,"
"165","12th ISIEM 2020","12th International Seminar on Industrial Engineering and Management 2020",""," 2020","Mar","17","Batu Malang","Indonesia","ergonomics,information system,production system,industrial system,"
"166","CAAC2020","'Precarious Futures?: Geopolitics, Mobility and Materiality'. The 6th Chinese in Africa / Africans in China Research Network Conference",""," 2020","Jul","9","Hong Kong","Hong Kong","africans in china,chinese in africa,sinoafrica,china africa relations,"
"167","BW12","Fiction, Narrative and Art Beyond Literature",""," 2020","Apr","29","Barcelona","Spain","literature,art,narrative,fiction,"
"168","BHCC 2019","1st Symposium on Biases in Human Computation and Crowdsourcing",""," 2019","Oct","21","Sheffield","UK","ai,bias,human computation,crowdsourcing,"
"169","SAEIIRC 2019","Sustainable Agroecosystems and Emerging Innovations International Research Conference 2019",""," 2019","Dec","13","Davao City","Philippines","industrial safety,water safety,food security,agriculture,"
"170","IWAIT 2020","International Workshop on Advanced Image Technology 2020",""," 2020","Jan","5","Yogyakarta","Indonesia","computer graphics cloud multimedia computing,multimedia applications computer vision animation,broadcasting networked multimedia multimedia systems,2d/3d image/video processing pattern recognition,"
"171","III ENSIII 2019","III Encuentro Nacional de Semilleros de Ingeniería Industrial 2019",""," 2019","Nov","1","Bogota D.C.","Colombia","innovación y sostenibilidad,gestión organizacional,mejoramiento de procesos,"
